version;reserved0;flags;invalidLlh;iTOW;lon;lat;height;hMSL;lonHp;latHp;heightHp;hMSLHp;hAcc;vAcc
0;0;('X001', {'invalidLlh': 'U001'});0;219969000;14.190921196;40.828875178;85278.8;44003.2;-4;-22;-2;2;35.2;52.2
0;0;('X001', {'invalidLlh': 'U001'});0;219970000;14.190921195;40.828875153;85274.9;43999.3;-5;-47;-1;3;34.5;51.3
0;0;('X001', {'invalidLlh': 'U001'});0;219971000;14.19092123;40.828875137;85274.3;43998.7;30;37;3;-3;34.6;51.4
0;0;('X001', {'invalidLlh': 'U001'});0;219972000;14.190921264;40.828875137;85269.4;43993.8;-36;37;4;-2;34.7;51.5
0;0;('X001', {'invalidLlh': 'U001'});0;219973000;14.190921259;40.828875147;85265.9;43990.3;-41;47;-1;3;34.9;51.6
0;0;('X001', {'invalidLlh': 'U001'});0;219974000;14.19092127;40.828875214;85265.3;43989.7;-30;14;3;-3;34.7;51.4
0;0;('X001', {'invalidLlh': 'U001'});0;219975000;14.190921278;40.828875221;85258.2;43982.6;-22;21;2;-4;34.8;51.5
0;0;('X001', {'invalidLlh': 'U001'});0;219976000;14.190921313;40.828875223;85257.8;43982.2;13;23;-2;2;34.9;51.5
0;0;('X001', {'invalidLlh': 'U001'});0;219977000;14.190921319;40.828875209;85260.1;43984.5;19;9;1;-5;35.0;51.6
0;0;('X001', {'invalidLlh': 'U001'});0;219978000;14.190921331;40.828875211;85259.4;43983.8;31;11;4;-2;35.2;51.9
0;0;('X001', {'invalidLlh': 'U001'});0;219979000;14.19092134;40.82887518;85249.6;43974.0;40;-20;-4;0;34.5;50.9
0;0;('X001', {'invalidLlh': 'U001'});0;219979597;14.190921329;40.828875151;85249.7;43974.1;29;-49;-3;1;9798.0;6928.200000000001
0;0;('X001', {'invalidLlh': 'U001'});0;219980000;14.191127639;40.828565823;85249.7;43974.5;39;23;-3;5;397452.9;16970.600000000002
0;0;('X001', {'invalidLlh': 'U001'});0;219981000;14.190915365;40.828902518;77691.5;36415.9;-35;18;5;-1;15371.6;21970.4
0;0;('X001', {'invalidLlh': 'U001'});0;219982000;14.190938763;40.828876119;77701.2;36425.6;-37;19;2;-4;7046.6;8360.800000000001
0;0;('X001', {'invalidLlh': 'U001'});0;219983000;14.190939304;40.828873929;76657.8;35382.2;4;29;-2;2;6012.400000000001;7762.700000000001
0;0;('X001', {'invalidLlh': 'U001'});0;219984000;14.190936369;40.828876806;77185.9;35910.3;-31;6;-1;3;4916.3;6575.700000000001
0;0;('X001', {'invalidLlh': 'U001'});0;219985000;14.190934339;40.828877226;77192.5;35916.9;39;26;-5;-1;4246.0;5796.8
0;0;('X001', {'invalidLlh': 'U001'});0;219986000;14.190932076;40.82887741;76414.3;35138.7;-24;10;3;-3;3763.3;5187.900000000001
0;0;('X001', {'invalidLlh': 'U001'});0;219987000;14.190931155;40.828877586;75780.5;34504.9;-45;-14;-5;-1;3418.3;4738.3
0;0;('X001', {'invalidLlh': 'U001'});0;219988000;14.190930601;40.828877581;75326.2;34050.6;1;-19;2;-4;3154.6;4389.1
0;0;('X001', {'invalidLlh': 'U001'});0;219989000;14.190930419;40.828877515;74968.0;33692.4;19;15;0;4;2945.1;4109.400000000001
0;0;('X001', {'invalidLlh': 'U001'});0;219990000;14.190930445;40.828877397;74648.6;33373.0;45;-3;-4;0;2772.8;3875.5
0;0;('X001', {'invalidLlh': 'U001'});0;219991000;14.190930617;40.82887729;74401.1;33125.5;17;-10;1;-5;2628.9;3678.0
0;0;('X001', {'invalidLlh': 'U001'});0;219992000;14.190931021;40.828876755;74140.7;32865.0;21;-45;-3;0;2507.2;3511.4
0;0;('X001', {'invalidLlh': 'U001'});0;219993000;14.190931403;40.828876316;73912.7;32637.1;3;16;-3;1;2400.8;3363.9
0;0;('X001', {'invalidLlh': 'U001'});0;219994000;14.190931689;40.828875966;73724.7;32449.1;-11;-34;-3;1;2306.8;3235.6
0;0;('X001', {'invalidLlh': 'U001'});0;219995000;14.190931909;40.828875638;73563.3;32287.7;9;38;3;-3;2223.1;3121.5
0;0;('X001', {'invalidLlh': 'U001'});0;219996000;14.19091251;40.82888021;73376.8;32101.2;10;10;-2;2;1779.7;2226.8
0;0;('X001', {'invalidLlh': 'U001'});0;219997000;14.19091906;40.828877284;77178.2;35902.6;-40;-16;2;-4;858.3;1048.6
0;0;('X001', {'invalidLlh': 'U001'});0;219998000;14.1909191;40.828876365;78574.2;37298.5;0;-35;2;-5;572.7;721.3
0;0;('X001', {'invalidLlh': 'U001'});0;219999000;14.190919062;40.828875594;79423.8;38148.2;-38;-6;-2;2;438.9;561.0
0;0;('X001', {'invalidLlh': 'U001'});0;220000000;14.190919248;40.828874725;80118.2;38842.5;48;25;2;-5;335.7;440.6
0;0;('X001', {'invalidLlh': 'U001'});0;220001000;14.190919464;40.828874011;80590.7;39315.1;-36;11;-3;1;276.7;368.9
0;0;('X001', {'invalidLlh': 'U001'});0;220002000;14.19091966;40.828873498;80926.4;39650.8;-40;-2;4;-2;239.5;322.9
0;0;('X001', {'invalidLlh': 'U001'});0;220003000;14.190919787;40.828873079;81187.9;39912.3;-13;-21;-1;3;214.2;291.6
0;0;('X001', {'invalidLlh': 'U001'});0;220004000;14.190919902;40.828872676;81395.4;40119.8;2;-24;4;-2;196.3;269.2
0;0;('X001', {'invalidLlh': 'U001'});0;220005000;14.190919978;40.828872322;81572.3;40296.7;-22;22;3;-3;182.8;252.4
0;0;('X001', {'invalidLlh': 'U001'});0;220006000;14.190920064;40.828872015;81731.3;40455.7;-36;15;3;-3;172.7;240.4
0;0;('X001', {'invalidLlh': 'U001'});0;220007000;14.190920148;40.828871749;81876.9;40601.3;48;49;-1;3;164.8;231.2
0;0;('X001', {'invalidLlh': 'U001'});0;220008000;14.190920234;40.828871486;82004.5;40728.8;34;-14;5;-2;158.4;222.8
0;0;('X001', {'invalidLlh': 'U001'});0;220009000;14.19092027;40.828871309;82105.7;40830.1;-30;9;-3;1;153.0;215.2
0;0;('X001', {'invalidLlh': 'U001'});0;220010000;14.190920267;40.828871334;82198.0;40922.4;-33;34;0;4;148.2;208.6
0;0;('X001', {'invalidLlh': 'U001'});0;220011000;14.190920289;40.828871393;82292.0;41016.4;-11;-7;0;4;144.1;203.1
0;0;('X001', {'invalidLlh': 'U001'});0;220012000;14.190920328;40.828871394;82382.1;41106.5;28;-6;1;5;140.6;198.4
0;0;('X001', {'invalidLlh': 'U001'});0;220013000;14.190920361;40.828871333;82472.4;41196.8;-39;33;4;-2;137.6;194.2
0;0;('X001', {'invalidLlh': 'U001'});0;220014000;14.190920424;40.828871249;82548.8;41273.2;24;49;-2;2;134.7;190.3
0;0;('X001', {'invalidLlh': 'U001'});0;220015000;14.190920506;40.828871131;82621.9;41346.3;6;31;-1;3;132.0;186.8
