Timestamp;Longitude;Latitude;Height
220260000;14.190922758;40.828876663;84955.4
220261000;14.190922767;40.828876478;84946.0
220262000;14.190922744;40.828876287;84932.6
220263000;14.19092274;40.828876129;84921.9
220264000;14.190922755;40.828875996;84909.0
220265000;14.190922753;40.828875867;84889.0
220266000;14.190922756;40.828875755;84867.8
220267000;14.19092273;40.828875811;84902.9
220268000;14.190922705;40.828875835;84958.2
220269000;14.190922698;40.828875801;85017.5
220270000;14.190922715;40.82887568;85080.3
220271000;14.190922715;40.828875477;85142.0
220272000;14.190922686;40.828875235;85192.1
220273000;14.190922629;40.828875015;85236.4
220274000;14.190922578;40.82887481;85270.2
220275000;14.190922524;40.828874729;85282.1
220276000;14.190922492;40.8288747;85288.1
220277000;14.190922476;40.828874684;85291.3
220278000;14.190922453;40.828874662;85294.3
220279000;14.190922505;40.828874608;85276.8
220280000;14.19092251;40.82887458;85270.9
220281000;14.190922506;40.828874572;85263.2
220282000;14.190922501;40.828874599;85257.4
220283000;14.190922517;40.828874608;85248.5
220284000;14.190922582;40.828874564;85248.2
220285000;14.190922595;40.828874508;85246.4
220286000;14.190922592;40.828874477;85234.3
220287000;14.1909226;40.828874432;85217.3
220288000;14.190922593;40.828874375;85200.1
220289000;14.190922615;40.82887434;85182.9
220290000;14.190922609;40.828874327;85171.2
220291000;14.190922611;40.828874287;85150.9
220292000;14.190922563;40.828874276;85131.8
220293000;14.190922534;40.828874224;85113.8
220294000;14.190922484;40.828874175;85095.9
220295000;14.190922476;40.828874144;85079.3
220296000;14.190922452;40.82887412;85065.5
220297000;14.19092245;40.828874105;85047.6
220298000;14.19092228;40.828874376;85056.8
220299000;14.190922161;40.828874694;85080.0
220300000;14.190922095;40.828874921;85118.7
220301000;14.190922053;40.828875111;85160.9
220302000;14.19092203;40.828875219;85200.9
220303000;14.190922019;40.828875285;85233.9
220304000;14.190922001;40.828875337;85259.3
220305000;14.190921989;40.82887529;85275.5
220306000;14.190921976;40.828875277;85287.3
220307000;14.190921948;40.828875298;85296.8
220308000;14.190921944;40.828875332;85310.5
220309000;14.19092193;40.828875337;85324.7
220310000;14.190921927;40.828875338;85331.7
220311000;14.190921906;40.82887537;85329.1
220312000;14.190921862;40.828875408;85325.0
220313000;14.190921837;40.828875457;85320.0
220314000;14.19092173;40.82887553;85321.8
220315000;14.19092169;40.82887556;85320.4
220316000;14.190921671;40.828875489;85318.8
220317000;14.190921646;40.828875403;85320.3
220318000;14.190921606;40.828875342;85317.4
220319000;14.190921544;40.828875362;85322.9
220320000;14.190921471;40.82887539;85323.1
220321000;14.190921455;40.828875402;85327.4
220322000;14.190921426;40.828875387;85335.9
220323000;14.190921396;40.828875342;85337.7
220324000;14.190921355;40.828875314;85334.7
220325000;14.190921314;40.828875301;85328.4
220326000;14.19092107;40.828875371;85326.0
220327000;14.190920961;40.828875441;85340.3
220328000;14.190920934;40.8288755;85354.3
220329000;14.190920922;40.828875536;85369.0
220330000;14.190920878;40.828875587;85387.2
220331000;14.190920853;40.828875635;85407.9
220332000;14.190920825;40.828875682;85427.5
220333000;14.190920809;40.828875762;85447.4
220334000;14.1909208;40.828875855;85469.3
220335000;14.19092082;40.828875915;85483.3
220336000;14.190920833;40.828875975;85490.1
220337000;14.190920832;40.828876058;85492.2
220338000;14.19092084;40.828876151;85494.8
220339000;14.190920883;40.828876252;85507.3
220340000;14.190920925;40.828876348;85512.0
220341000;14.190920971;40.828876401;85511.2
220342000;14.190921;40.82887643;85511.5
220343000;14.190921017;40.828876416;85505.5
220344000;14.190921024;40.828876413;85506.6
220345000;14.190921052;40.828876419;85507.8
220346000;14.190921101;40.828876403;85508.9
220347000;14.190921141;40.828876391;85505.9
220348000;14.190921158;40.828876376;85506.4
220349000;14.19092118;40.828876368;85505.1
220350000;14.190921189;40.828876328;85501.2
